short,long,total_return,annual_return,max_drawdown,sharpe,trades
3,20,0.0757,0.0127,0.1985,-0.1263,105
3,30,-0.0018,-0.0003,0.1952,-0.2292,75
3,40,-0.0301,-0.0053,0.1964,-0.2621,65
3,60,-0.0627,-0.0111,0.1993,-0.303,75
3,90,-0.003,-0.0005,0.1854,-0.2413,49
5,20,-0.0563,-0.01,0.1985,-0.2988,87
5,30,0.028,0.0048,0.1952,-0.1906,59
5,40,0.0088,0.0015,0.1975,-0.2119,51
5,60,-0.0167,-0.0029,0.1979,-0.245,57
5,90,-0.0021,-0.0004,0.1857,-0.2376,43
10,20,-0.0527,-0.0093,0.1929,-0.2994,77
10,30,0.013,0.0022,0.1917,-0.212,53
10,40,0.0368,0.0063,0.1975,-0.1764,37
10,60,0.0008,0.0001,0.1952,-0.2239,35
10,90,-0.01,-0.0017,0.1884,-0.2486,35
15,20,-0.1139,-0.0207,0.1928,-0.3919,95
15,30,0.0267,0.0046,0.1919,-0.1959,43
15,40,0.0395,0.0067,0.1959,-0.1747,33
15,60,-0.0139,-0.0024,0.197,-0.2419,33
15,90,-0.0026,-0.0005,0.196,-0.2255,27
20,30,0.0481,0.0082,0.1879,-0.1693,51
20,40,0.0395,0.0067,0.1945,-0.1742,33
20,60,-0.0313,-0.0055,0.1902,-0.2745,33
20,90,-0.0192,-0.0034,0.1981,-0.2472,25
