date,code,direction,quantity,price,commission
2020-04-14,000858,buy,100,2131.7249399999996,53.293123499999986
2020-05-11,601318,buy,2400,166.00134,99.60080400000001
2020-08-11,601318,sell,2400,171.06718,513.20154
2020-08-14,601318,buy,2600,174.5985,113.489025
2020-08-31,601318,sell,2600,170.76778000000002,554.9952850000001
2020-09-18,601318,buy,2400,185.6205,111.3723
2021-01-04,601318,sell,2400,189.45034,568.3510200000001
2021-03-03,601318,buy,2500,193.35594,120.8474625
2021-03-04,000858,sell,100,4309.13446,538.6418075
2021-03-22,601318,sell,2500,178.75178000000002,558.5993125000001
2021-04-29,000858,buy,100,4689.78084,117.244521
2021-07-05,000858,sell,100,4539.961880000001,567.4952350000001
2021-10-13,000858,buy,100,3946.5773999999997,98.664435
2021-10-21,601318,buy,3400,131.09166000000002,111.42791100000002
2021-11-04,000858,sell,100,3420.93442,427.61680249999995
2021-11-10,601318,sell,3400,122.04542000000001,518.693035
2021-11-16,601318,buy,3400,124.9995,106.249575
2021-11-22,601318,sell,3400,123.2031,523.6131750000001
2021-11-24,601318,buy,3500,123.77706,108.3049275
2021-11-25,601318,sell,3500,122.58434,536.3064875
2021-11-26,000858,buy,100,3685.9872600000003,92.14968150000001
2021-12-16,601318,buy,3500,126.68286,110.8475025
2022-01-11,000858,sell,100,3523.00986,440.3762325
2022-03-04,601318,sell,3500,123.98154000000001,542.4192375
2022-06-01,000858,buy,100,2864.1168000000002,71.60292000000001
2022-06-17,601318,buy,3500,118.32618000000001,103.5354075
2022-07-22,601318,sell,3500,112.90374,493.9538625
2022-08-05,000858,sell,100,3036.7443399999997,379.59304249999997
2022-09-06,601318,buy,3600,115.05966,103.553694
2022-10-10,601318,sell,3600,109.67022,493.51599
2022-11-21,601318,buy,3600,111.51258,100.361322
2022-12-05,000858,buy,100,2881.72194,72.04304850000001
2023-03-07,601318,sell,3600,124.44062,559.98279
2023-03-15,000858,sell,100,3241.81338,405.22667249999995
2023-04-27,601318,buy,3400,129.86922,110.38883700000001
2023-06-05,601318,sell,3400,125.63822,533.962435
2023-06-14,601318,buy,3400,128.22594,108.99204900000002
2023-06-20,000858,buy,100,2967.90396,74.197599
2023-06-21,601318,sell,3400,124.89970000000001,530.8237250000001
2023-07-05,000858,sell,100,2880.38768,360.04846
2023-07-14,000858,buy,100,2995.5090600000003,74.8877265
2023-07-25,601318,buy,3200,131.23194,104.98555200000001
2023-08-21,000858,sell,100,2827.16434,353.3955425
2023-08-23,601318,sell,3200,124.54042000000001,498.16168000000005
2023-09-06,601318,buy,3000,134.19786000000002,100.64839500000002
2023-09-25,601318,sell,3000,129.73002,486.487575
2023-11-08,000858,buy,100,2786.1612,69.65403
2023-11-21,000858,sell,100,2723.07294,340.3841175
2024-01-30,601318,buy,3500,114.33821999999999,100.0459425
2024-02-22,000858,buy,100,2511.47292,62.786823000000005
2024-03-28,601318,sell,3500,114.87978,502.5990375
2024-04-22,000858,sell,100,2555.44886,319.4311075
2024-04-26,000858,buy,100,2686.19166,67.15479149999999
2024-05-09,601318,buy,3400,118.64681999999999,100.849797
2024-06-03,000858,sell,100,2577.6144400000003,322.20180500000004
2024-06-20,601318,sell,3400,116.5165,495.19512499999996
2024-07-29,601318,buy,3300,119.57868,98.65241100000001
2024-09-30,000858,buy,100,2920.13862,73.0034655
2024-11-29,601318,sell,3300,144.74992,597.09342
2024-12-05,000858,sell,100,2635.6681,329.4585125
2025-02-27,601318,buy,2900,142.06356,102.99608099999999
2025-03-03,601318,sell,2900,138.92159999999998,503.5908
2025-03-07,601318,buy,2900,141.82308,102.82173300000001
2025-03-11,000858,buy,100,2532.56502,63.3141255
2025-04-08,601318,sell,2900,136.78588,495.84881499999995
2025-04-11,000858,sell,100,2466.26758,308.2834475
2025-05-09,601318,buy,2800,142.32407999999998,99.62685599999999
2025-07-21,000858,buy,100,2384.1588,59.603970000000004
2025-09-10,601318,sell,2800,157.17502000000002,550.1125700000001
2025-09-24,000858,sell,100,2371.67714,296.4596425
2025-10-27,601318,buy,2600,159.4683,103.65439500000001
