date,total_value,cash,position_value
2020-01-02,1000000.0,1000000.0,0.0
2020-01-03,1000000.0,1000000.0,0.0
2020-01-06,1000000.0,1000000.0,0.0
2020-01-07,1000000.0,1000000.0,0.0
2020-01-08,1000000.0,1000000.0,0.0
2020-01-09,1000000.0,1000000.0,0.0
2020-01-10,1000000.0,1000000.0,0.0
2020-01-13,1000000.0,1000000.0,0.0
2020-01-14,1000000.0,1000000.0,0.0
2020-01-15,1000000.0,1000000.0,0.0
2020-01-16,1000000.0,1000000.0,0.0
2020-01-17,1000000.0,1000000.0,0.0
2020-01-20,1000000.0,1000000.0,0.0
2020-01-21,1000000.0,1000000.0,0.0
2020-01-22,1000000.0,1000000.0,0.0
2020-01-23,1000000.0,1000000.0,0.0
2020-02-03,1000000.0,1000000.0,0.0
2020-02-04,1000000.0,1000000.0,0.0
2020-02-05,1000000.0,1000000.0,0.0
2020-02-06,1000000.0,1000000.0,0.0
2020-02-07,1000000.0,1000000.0,0.0
2020-02-10,1000000.0,1000000.0,0.0
2020-02-11,1000000.0,1000000.0,0.0
2020-02-12,1000000.0,1000000.0,0.0
2020-02-13,1000000.0,1000000.0,0.0
2020-02-14,1000000.0,1000000.0,0.0
2020-02-17,1000000.0,1000000.0,0.0
2020-02-18,1000000.0,1000000.0,0.0
2020-02-19,1000000.0,1000000.0,0.0
2020-02-20,1000000.0,1000000.0,0.0
2020-02-21,801521.3267335,801521.3267335,0.0
2020-02-24,995271.074436,995271.074436,0.0
2020-02-25,994836.2440785,801621.2440785,193215.0
2020-02-26,993419.350386,993419.350386,0.0
2020-02-27,993419.350386,993419.350386,0.0
2020-02-28,993419.350386,993419.350386,0.0
2020-03-02,993419.350386,993419.350386,0.0
2020-03-03,993419.350386,993419.350386,0.0
2020-03-04,993419.350386,993419.350386,0.0
2020-03-05,993419.350386,993419.350386,0.0
2020-03-06,993419.350386,993419.350386,0.0
2020-03-09,993419.350386,993419.350386,0.0
2020-03-10,993419.350386,993419.350386,0.0
2020-03-11,993419.350386,993419.350386,0.0
2020-03-12,993419.350386,993419.350386,0.0
2020-03-13,993419.350386,993419.350386,0.0
2020-03-16,993419.350386,993419.350386,0.0
2020-03-17,993419.350386,993419.350386,0.0
2020-03-18,993419.350386,993419.350386,0.0
2020-03-19,993419.350386,993419.350386,0.0
2020-03-20,993419.350386,993419.350386,0.0
2020-03-23,993419.350386,993419.350386,0.0
2020-03-24,993419.350386,993419.350386,0.0
2020-03-25,993419.350386,993419.350386,0.0
2020-03-26,993419.350386,993419.350386,0.0
2020-03-27,993419.350386,993419.350386,0.0
2020-03-30,993419.350386,993419.350386,0.0
2020-03-31,993419.350386,993419.350386,0.0
2020-04-01,993419.350386,993419.350386,0.0
2020-04-02,993419.350386,993419.350386,0.0
2020-04-03,993419.350386,993419.350386,0.0
2020-04-07,993419.350386,993419.350386,0.0
2020-04-08,993419.350386,993419.350386,0.0
2020-04-09,993419.350386,993419.350386,0.0
2020-04-10,993419.350386,993419.350386,0.0
2020-04-13,992999.3260679999,806363.3260679999,186636.0
2020-04-14,995135.3260679999,806363.3260679999,188772.0
2020-04-15,994727.3260679999,806363.3260679999,188364.0
2020-04-16,993599.3260679999,806363.3260679999,187236.0
2020-04-17,998447.3260679999,806363.3260679999,192084.0
2020-04-20,1001087.3260679999,806363.3260679999,194724.0
2020-04-21,998375.3260679999,806363.3260679999,192012.0
2020-04-22,997655.3260679999,806363.3260679999,191292.0
2020-04-23,997871.3260679999,806363.3260679999,191508.0
2020-04-24,993887.3260679999,806363.3260679999,187524.0
2020-04-27,995567.3260679999,806363.3260679999,189204.0
2020-04-28,998399.3260679999,806363.3260679999,192036.0
2020-04-29,1002287.3260679999,806363.3260679999,195924.0
2020-04-30,1003391.3260679999,806363.3260679999,197028.0
2020-05-06,1001831.3260679999,806363.3260679999,195468.0
2020-05-07,1000439.3260679999,806363.3260679999,194076.0
2020-05-08,1002935.3260679999,806363.3260679999,196572.0
2020-05-11,1005167.3260679999,806363.3260679999,198804.0
2020-05-12,1005239.3260679999,806363.3260679999,198876.0
2020-05-13,1003823.3260679999,806363.3260679999,197460.0
2020-05-14,1001159.3260679999,806363.3260679999,194796.0
2020-05-15,1001159.3260679999,806363.3260679999,194796.0
2020-05-18,1001087.3260679999,806363.3260679999,194724.0
2020-05-19,1002767.3260679999,806363.3260679999,196404.0
2020-05-20,1002887.3260679999,806363.3260679999,196524.0
2020-05-21,1001519.3260679999,806363.3260679999,195156.0
2020-05-22,996095.3260679999,806363.3260679999,189732.0
2020-05-25,995263.872858,995263.872858,0.0
2020-05-26,995263.872858,995263.872858,0.0
2020-05-27,995263.872858,995263.872858,0.0
2020-05-28,995263.872858,995263.872858,0.0
2020-05-29,995263.872858,995263.872858,0.0
2020-06-01,995263.872858,995263.872858,0.0
2020-06-02,995263.872858,995263.872858,0.0
2020-06-03,994848.2527685,810169.2527685,184679.0
2020-06-04,995134.2527685,810169.2527685,184965.0
2020-06-05,995486.2527685,810169.2527685,185317.0
2020-06-08,998610.2527685,810169.2527685,188441.0
2020-06-09,998126.2527685,810169.2527685,187957.0
2020-06-10,996102.2527685,810169.2527685,185933.0
2020-06-11,993110.2527685,810169.2527685,182941.0
2020-06-12,992956.2527685,810169.2527685,182787.0
2020-06-15,989414.2527685,810169.2527685,179245.0
2020-06-16,991438.2527685,810169.2527685,181269.0
2020-06-17,990448.2527685,810169.2527685,180279.0
2020-06-18,991306.2527685,810169.2527685,181137.0
2020-06-19,990761.867471,990761.867471,0.0
2020-06-22,990761.867471,990761.867471,0.0
2020-06-23,990761.867471,990761.867471,0.0
2020-06-24,990761.867471,990761.867471,0.0
2020-06-29,990761.867471,990761.867471,0.0
2020-06-30,990761.867471,990761.867471,0.0
2020-07-01,990761.867471,990761.867471,0.0
2020-07-02,990761.867471,990761.867471,0.0
2020-07-03,990761.867471,990761.867471,0.0
2020-07-06,990343.026916,804233.026916,186110.0
2020-07-07,988543.026916,804233.026916,184310.0
2020-07-08,993483.026916,804233.026916,189250.0
2020-07-09,993943.026916,804233.026916,189710.0
2020-07-10,986783.026916,804233.026916,182550.0
2020-07-13,986823.026916,804233.026916,182590.0
2020-07-14,984703.026916,804233.026916,180470.0
2020-07-15,982543.026916,804233.026916,178310.0
2020-07-16,978543.026916,804233.026916,174310.0
2020-07-17,978143.026916,804233.026916,173910.0
2020-07-20,987703.026916,804233.026916,183470.0
2020-07-21,983623.026916,804233.026916,179390.0
2020-07-22,981963.026916,804233.026916,177730.0
2020-07-23,980103.026916,804233.026916,175870.0
2020-07-24,976103.026916,804233.026916,171870.0
2020-07-27,974408.581241,974408.581241,0.0
2020-07-28,974408.581241,974408.581241,0.0
2020-07-29,974408.581241,974408.581241,0.0
2020-07-30,974408.581241,974408.581241,0.0
2020-07-31,974408.581241,974408.581241,0.0
2020-08-03,974408.581241,974408.581241,0.0
2020-08-04,974408.581241,974408.581241,0.0
2020-08-05,974408.581241,974408.581241,0.0
2020-08-06,974408.581241,974408.581241,0.0
2020-08-07,974408.581241,974408.581241,0.0
2020-08-10,974408.581241,974408.581241,0.0
2020-08-11,974408.581241,974408.581241,0.0
2020-08-12,974408.581241,974408.581241,0.0
2020-08-13,974408.581241,974408.581241,0.0
2020-08-14,974408.581241,974408.581241,0.0
2020-08-17,974003.333706,793933.333706,180070.0
2020-08-18,971303.333706,793933.333706,177370.0
2020-08-19,968143.333706,793933.333706,174210.0
2020-08-20,967003.333706,793933.333706,173070.0
2020-08-21,968303.333706,793933.333706,174370.0
2020-08-24,967403.333706,793933.333706,173470.0
2020-08-25,968023.333706,793933.333706,174090.0
2020-08-26,965403.333706,793933.333706,171470.0
2020-08-27,964328.173581,964328.173581,0.0
2020-08-28,964328.173581,964328.173581,0.0
2020-08-31,964328.173581,964328.173581,0.0
2020-09-01,964328.173581,964328.173581,0.0
2020-09-02,964328.173581,964328.173581,0.0
2020-09-03,964328.173581,964328.173581,0.0
2020-09-04,964328.173581,964328.173581,0.0
2020-09-07,964328.173581,964328.173581,0.0
2020-09-08,964328.173581,964328.173581,0.0
2020-09-09,964328.173581,964328.173581,0.0
2020-09-10,964328.173581,964328.173581,0.0
2020-09-11,964328.173581,964328.173581,0.0
2020-09-14,963895.0265975,771428.0265975,192467.0
2020-09-15,966887.0265975,771428.0265975,195459.0
2020-09-16,965765.0265975,771428.0265975,194337.0
2020-09-17,966645.0265975,771428.0265975,195217.0
2020-09-18,975203.0265975,771428.0265975,203775.0
2020-09-21,970891.0265975,771428.0265975,199463.0
2020-09-22,966799.0265975,771428.0265975,195371.0
2020-09-23,965677.0265975,771428.0265975,194249.0
2020-09-24,962399.0265975,771428.0265975,190971.0
2020-09-25,963543.0265975,771428.0265975,192115.0
2020-09-28,964335.0265975,771428.0265975,192907.0
2020-09-29,961805.0265975,771428.0265975,190377.0
2020-09-30,960002.63532,960002.63532,0.0
2020-10-09,960002.63532,960002.63532,0.0
2020-10-12,959594.8672249999,778404.8672249999,181190.0
2020-10-13,960634.8672249999,778404.8672249999,182230.0
2020-10-14,960634.8672249999,778404.8672249999,182230.0
2020-10-15,960674.8672249999,778404.8672249999,182270.0
2020-10-16,961874.8672249999,778404.8672249999,183470.0
2020-10-19,961574.8672249999,778404.8672249999,183170.0
2020-10-20,960334.8672249999,778404.8672249999,181930.0
2020-10-21,962674.8672249999,778404.8672249999,184270.0
2020-10-22,962074.8672249999,778404.8672249999,183670.0
2020-10-23,964874.8672249999,778404.8672249999,186470.0
2020-10-26,962274.8672249999,778404.8672249999,183870.0
2020-10-27,960014.8672249999,778404.8672249999,181610.0
2020-10-28,957034.8672249999,778404.8672249999,178630.0
2020-10-29,955194.8672249999,778404.8672249999,176790.0
2020-10-30,952966.13255,952966.13255,0.0
2020-11-02,952966.13255,952966.13255,0.0
2020-11-03,952966.13255,952966.13255,0.0
2020-11-04,952966.13255,952966.13255,0.0
2020-11-05,952966.13255,952966.13255,0.0
2020-11-06,952966.13255,952966.13255,0.0
2020-11-09,952966.13255,952966.13255,0.0
2020-11-10,952547.832115,766677.832115,185870.0
2020-11-11,953187.832115,766677.832115,186510.0
2020-11-12,950687.832115,766677.832115,184010.0
2020-11-13,946827.832115,766677.832115,180150.0
2020-11-16,952347.832115,766677.832115,185670.0
2020-11-17,954207.832115,766677.832115,187530.0
2020-11-18,956887.832115,766677.832115,190210.0
2020-11-19,956987.832115,766677.832115,190310.0
2020-11-20,955227.832115,766677.832115,188550.0
2020-11-23,958587.832115,766677.832115,191910.0
2020-11-24,956147.832115,766677.832115,189470.0
2020-11-25,960647.832115,766677.832115,193970.0
2020-11-26,964447.832115,766677.832115,197770.0
2020-11-27,966347.832115,766677.832115,199670.0
2020-11-30,966207.832115,766677.832115,199530.0
2020-12-01,972907.832115,766677.832115,206230.0
2020-12-02,971847.832115,766677.832115,205170.0
2020-12-03,969887.832115,766677.832115,203210.0
2020-12-04,970527.832115,766677.832115,203850.0
2020-12-07,966907.832115,766677.832115,200230.0
2020-12-08,962247.832115,766677.832115,195570.0
2020-12-09,961887.832115,766677.832115,195210.0
2020-12-10,961507.832115,766677.832115,194830.0
2020-12-11,957725.38379,957725.38379,0.0
2020-12-14,957725.38379,957725.38379,0.0
2020-12-15,957725.38379,957725.38379,0.0
2020-12-16,957725.38379,957725.38379,0.0
2020-12-17,957725.38379,957725.38379,0.0
2020-12-18,957725.38379,957725.38379,0.0
2020-12-21,957725.38379,957725.38379,0.0
2020-12-22,957725.38379,957725.38379,0.0
2020-12-23,957725.38379,957725.38379,0.0
2020-12-24,957725.38379,957725.38379,0.0
2020-12-25,957725.38379,957725.38379,0.0
2020-12-28,957725.38379,957725.38379,0.0
2020-12-29,957725.38379,957725.38379,0.0
2020-12-30,957725.38379,957725.38379,0.0
2020-12-31,957725.38379,957725.38379,0.0
2021-01-04,957725.38379,957725.38379,0.0
2021-01-05,957725.38379,957725.38379,0.0
2021-01-06,957725.38379,957725.38379,0.0
2021-01-07,957725.38379,957725.38379,0.0
2021-01-08,957725.38379,957725.38379,0.0
2021-01-11,957725.38379,957725.38379,0.0
2021-01-12,957330.1982405,781731.1982405,175599.0
2021-01-13,956826.1982405,781731.1982405,175095.0
2021-01-14,952740.1982405,781731.1982405,171009.0
2021-01-15,955674.1982405,781731.1982405,173943.0
2021-01-18,956214.1982405,781731.1982405,174483.0
2021-01-19,955494.1982405,781731.1982405,173763.0
2021-01-20,952614.1982405,781731.1982405,170883.0
2021-01-21,951246.1982405,781731.1982405,169515.0
2021-01-22,949547.4393979999,949547.4393979999,0.0
2021-01-25,949547.4393979999,949547.4393979999,0.0
2021-01-26,949547.4393979999,949547.4393979999,0.0
2021-01-27,949547.4393979999,949547.4393979999,0.0
2021-01-28,949547.4393979999,949547.4393979999,0.0
2021-01-29,949547.4393979999,949547.4393979999,0.0
2021-02-01,949547.4393979999,949547.4393979999,0.0
2021-02-02,949547.4393979999,949547.4393979999,0.0
2021-02-03,949547.4393979999,949547.4393979999,0.0
2021-02-04,949547.4393979999,949547.4393979999,0.0
2021-02-05,949547.4393979999,949547.4393979999,0.0
2021-02-08,949547.4393979999,949547.4393979999,0.0
2021-02-09,949547.4393979999,949547.4393979999,0.0
2021-02-10,949547.4393979999,949547.4393979999,0.0
2021-02-18,949547.4393979999,949547.4393979999,0.0
2021-02-19,949547.4393979999,949547.4393979999,0.0
2021-02-22,949547.4393979999,949547.4393979999,0.0
2021-02-23,949124.097843,761014.097843,188110.0
2021-02-24,948044.097843,761014.097843,187030.0
2021-02-25,954764.097843,761014.097843,193750.0
2021-02-26,950844.097843,761014.097843,189830.0
2021-03-01,950164.097843,761014.097843,189150.0
2021-03-02,946944.097843,761014.097843,185930.0
2021-03-03,953984.097843,761014.097843,192970.0
2021-03-04,953084.097843,761014.097843,192070.0
2021-03-05,949484.097843,761014.097843,188470.0
2021-03-08,950384.097843,761014.097843,189370.0
2021-03-09,948584.097843,761014.097843,187570.0
2021-03-10,947044.097843,761014.097843,186030.0
2021-03-11,953204.097843,761014.097843,192190.0
2021-03-12,951584.097843,761014.097843,190570.0
2021-03-15,950704.097843,761014.097843,189690.0
2021-03-16,951284.097843,761014.097843,190270.0
2021-03-17,945564.097843,761014.097843,184550.0
2021-03-18,942732.0461179999,942732.0461179999,0.0
2021-03-19,942732.0461179999,942732.0461179999,0.0
2021-03-22,942732.0461179999,942732.0461179999,0.0
2021-03-23,942732.0461179999,942732.0461179999,0.0
2021-03-24,942732.0461179999,942732.0461179999,0.0
2021-03-25,942732.0461179999,942732.0461179999,0.0
2021-03-26,942732.0461179999,942732.0461179999,0.0
2021-03-29,942732.0461179999,942732.0461179999,0.0
2021-03-30,942732.0461179999,942732.0461179999,0.0
2021-03-31,942732.0461179999,942732.0461179999,0.0
2021-04-01,942732.0461179999,942732.0461179999,0.0
2021-04-02,942732.0461179999,942732.0461179999,0.0
2021-04-06,942732.0461179999,942732.0461179999,0.0
2021-04-07,942732.0461179999,942732.0461179999,0.0
2021-04-08,942732.0461179999,942732.0461179999,0.0
2021-04-09,942732.0461179999,942732.0461179999,0.0
2021-04-12,942732.0461179999,942732.0461179999,0.0
2021-04-13,942732.0461179999,942732.0461179999,0.0
2021-04-14,942732.0461179999,942732.0461179999,0.0
2021-04-15,942732.0461179999,942732.0461179999,0.0
2021-04-16,942732.0461179999,942732.0461179999,0.0
2021-04-19,942732.0461179999,942732.0461179999,0.0
2021-04-20,942732.0461179999,942732.0461179999,0.0
2021-04-21,942732.0461179999,942732.0461179999,0.0
2021-04-22,942732.0461179999,942732.0461179999,0.0
2021-04-23,942732.0461179999,942732.0461179999,0.0
2021-04-26,942732.0461179999,942732.0461179999,0.0
2021-04-27,942732.0461179999,942732.0461179999,0.0
2021-04-28,942732.0461179999,942732.0461179999,0.0
2021-04-29,942732.0461179999,942732.0461179999,0.0
2021-04-30,942732.0461179999,942732.0461179999,0.0
2021-05-06,942732.0461179999,942732.0461179999,0.0
2021-05-07,942732.0461179999,942732.0461179999,0.0
2021-05-10,942732.0461179999,942732.0461179999,0.0
2021-05-11,942732.0461179999,942732.0461179999,0.0
2021-05-12,942732.0461179999,942732.0461179999,0.0
2021-05-13,942732.0461179999,942732.0461179999,0.0
2021-05-14,942732.0461179999,942732.0461179999,0.0
2021-05-17,942732.0461179999,942732.0461179999,0.0
2021-05-18,942732.0461179999,942732.0461179999,0.0
2021-05-19,942732.0461179999,942732.0461179999,0.0
2021-05-20,942732.0461179999,942732.0461179999,0.0
2021-05-21,942732.0461179999,942732.0461179999,0.0
2021-05-24,942732.0461179999,942732.0461179999,0.0
2021-05-25,942732.0461179999,942732.0461179999,0.0
2021-05-26,942732.0461179999,942732.0461179999,0.0
2021-05-27,942315.9804295,757438.9804295,184877.0
2021-05-28,942469.9804295,757438.9804295,185031.0
2021-05-31,939895.9804295,757438.9804295,182457.0
2021-06-01,938421.9804295,757438.9804295,180983.0
2021-06-02,937849.9804295,757438.9804295,180411.0
2021-06-03,937431.9804295,757438.9804295,179993.0
2021-06-04,937805.9804295,757438.9804295,180367.0
2021-06-07,935970.3109619999,935970.3109619999,0.0
2021-06-08,935970.3109619999,935970.3109619999,0.0
2021-06-09,935970.3109619999,935970.3109619999,0.0
2021-06-10,935970.3109619999,935970.3109619999,0.0
2021-06-11,935970.3109619999,935970.3109619999,0.0
2021-06-15,935970.3109619999,935970.3109619999,0.0
2021-06-16,935970.3109619999,935970.3109619999,0.0
2021-06-17,935970.3109619999,935970.3109619999,0.0
2021-06-18,935970.3109619999,935970.3109619999,0.0
2021-06-21,935970.3109619999,935970.3109619999,0.0
2021-06-22,935970.3109619999,935970.3109619999,0.0
2021-06-23,935970.3109619999,935970.3109619999,0.0
2021-06-24,935970.3109619999,935970.3109619999,0.0
2021-06-25,935970.3109619999,935970.3109619999,0.0
2021-06-28,935970.3109619999,935970.3109619999,0.0
2021-06-29,935970.3109619999,935970.3109619999,0.0
2021-06-30,935970.3109619999,935970.3109619999,0.0
2021-07-01,935970.3109619999,935970.3109619999,0.0
2021-07-02,935970.3109619999,935970.3109619999,0.0
2021-07-05,935970.3109619999,935970.3109619999,0.0
2021-07-06,935970.3109619999,935970.3109619999,0.0
2021-07-07,935970.3109619999,935970.3109619999,0.0
2021-07-08,935970.3109619999,935970.3109619999,0.0
2021-07-09,935970.3109619999,935970.3109619999,0.0
2021-07-12,935970.3109619999,935970.3109619999,0.0
2021-07-13,935970.3109619999,935970.3109619999,0.0
2021-07-14,935970.3109619999,935970.3109619999,0.0
2021-07-15,935970.3109619999,935970.3109619999,0.0
2021-07-16,935970.3109619999,935970.3109619999,0.0
2021-07-19,935970.3109619999,935970.3109619999,0.0
2021-07-20,935970.3109619999,935970.3109619999,0.0
2021-07-21,935970.3109619999,935970.3109619999,0.0
2021-07-22,935970.3109619999,935970.3109619999,0.0
2021-07-23,935970.3109619999,935970.3109619999,0.0
2021-07-26,935970.3109619999,935970.3109619999,0.0
2021-07-27,935970.3109619999,935970.3109619999,0.0
2021-07-28,935970.3109619999,935970.3109619999,0.0
2021-07-29,935970.3109619999,935970.3109619999,0.0
2021-07-30,935970.3109619999,935970.3109619999,0.0
2021-08-02,935970.3109619999,935970.3109619999,0.0
2021-08-03,935970.3109619999,935970.3109619999,0.0
2021-08-04,935970.3109619999,935970.3109619999,0.0
2021-08-05,935970.3109619999,935970.3109619999,0.0
2021-08-06,935970.3109619999,935970.3109619999,0.0
2021-08-09,935970.3109619999,935970.3109619999,0.0
2021-08-10,935970.3109619999,935970.3109619999,0.0
2021-08-11,935970.3109619999,935970.3109619999,0.0
2021-08-12,935970.3109619999,935970.3109619999,0.0
2021-08-13,935970.3109619999,935970.3109619999,0.0
2021-08-16,935554.0089709999,750572.0089709999,184982.0
2021-08-17,932943.8268859999,932943.8268859999,0.0
2021-08-18,932550.7658084999,757895.7658084999,174655.0
2021-08-19,926492.7658084999,757895.7658084999,168597.0
2021-08-20,924672.7658084999,757895.7658084999,166777.0
2021-08-23,923327.7749859999,923327.7749859999,0.0
2021-08-24,923327.7749859999,923327.7749859999,0.0
2021-08-25,923327.7749859999,923327.7749859999,0.0
2021-08-26,923327.7749859999,923327.7749859999,0.0
2021-08-27,923327.7749859999,923327.7749859999,0.0
2021-08-30,923327.7749859999,923327.7749859999,0.0
2021-08-31,923327.7749859999,923327.7749859999,0.0
2021-09-01,923327.7749859999,923327.7749859999,0.0
2021-09-02,923327.7749859999,923327.7749859999,0.0
2021-09-03,923327.7749859999,923327.7749859999,0.0
2021-09-06,923327.7749859999,923327.7749859999,0.0
2021-09-07,923327.7749859999,923327.7749859999,0.0
2021-09-08,923327.7749859999,923327.7749859999,0.0
2021-09-09,923327.7749859999,923327.7749859999,0.0
2021-09-10,923327.7749859999,923327.7749859999,0.0
2021-09-13,923327.7749859999,923327.7749859999,0.0
2021-09-14,923327.7749859999,923327.7749859999,0.0
2021-09-15,923327.7749859999,923327.7749859999,0.0
2021-09-16,923327.7749859999,923327.7749859999,0.0
2021-09-17,923327.7749859999,923327.7749859999,0.0
2021-09-22,923327.7749859999,923327.7749859999,0.0
2021-09-23,923327.7749859999,923327.7749859999,0.0
2021-09-24,923327.7749859999,923327.7749859999,0.0
2021-09-27,923327.7749859999,923327.7749859999,0.0
2021-09-28,923327.7749859999,923327.7749859999,0.0
2021-09-29,923327.7749859999,923327.7749859999,0.0
2021-09-30,923327.7749859999,923327.7749859999,0.0
2021-10-08,923327.7749859999,923327.7749859999,0.0
2021-10-11,922925.2730609999,744075.2730609999,178850.0
2021-10-12,921581.2730609999,744075.2730609999,177506.0
2021-10-13,920153.2730609999,744075.2730609999,176078.0
2021-10-14,919201.2730609999,744075.2730609999,175126.0
2021-10-15,917717.2730609999,744075.2730609999,173642.0
2021-10-18,914861.2730609999,744075.2730609999,170786.0
2021-10-19,919313.2730609999,744075.2730609999,175238.0
2021-10-20,919089.2730609999,744075.2730609999,175014.0
2021-10-21,927237.2730609999,744075.2730609999,183162.0
2021-10-22,927265.2730609999,744075.2730609999,183190.0
2021-10-25,926705.2730609999,744075.2730609999,182630.0
2021-10-26,923793.2730609999,744075.2730609999,179718.0
2021-10-27,922337.2730609999,744075.2730609999,178262.0
2021-10-28,921357.2730609999,744075.2730609999,177282.0
2021-10-29,916513.2730609999,744075.2730609999,172438.0
2021-11-01,918053.2730609999,744075.2730609999,173978.0
2021-11-02,917181.2797359999,917181.2797359999,0.0
2021-11-03,917181.2797359999,917181.2797359999,0.0
2021-11-04,917181.2797359999,917181.2797359999,0.0
2021-11-05,917181.2797359999,917181.2797359999,0.0
2021-11-08,917181.2797359999,917181.2797359999,0.0
2021-11-09,917181.2797359999,917181.2797359999,0.0
2021-11-10,917181.2797359999,917181.2797359999,0.0
