date,code,direction,quantity,price,commission
2020-02-21,601318,buy,1100,180.39006,49.6072665
2020-02-24,601318,sell,1100,176.35658,242.49029750000003
2020-02-25,601318,buy,1100,176.00130000000001,48.400357500000005
2020-02-26,601318,sell,1100,174.58014,240.04769250000004
2020-04-13,601318,buy,1200,155.84106,46.752318
2020-05-25,601318,sell,1200,157.61414000000002,236.42121000000003
2020-06-03,601318,buy,1100,168.22578,46.262089499999995
2020-06-19,601318,sell,1100,164.38058,226.0232975
2020-07-06,601318,buy,1000,186.48222,46.620555
2020-07-27,601318,sell,1000,170.38853999999998,212.98567499999996
2020-08-17,601318,buy,1000,180.43014,45.107535
2020-08-27,601318,sell,1000,170.60809999999998,213.26012499999996
2020-09-14,601318,buy,1100,175.31994,48.2129835
2020-09-30,601318,sell,1100,171.64602000000002,236.01327750000002
2020-10-12,601318,buy,1000,181.55238,45.388095
2020-10-30,601318,sell,1000,174.77974,218.474675
2020-11-10,601318,buy,1000,186.24174,46.560435
2020-12-11,601318,sell,1000,191.28665999999998,239.10832499999998
2021-01-12,601318,buy,900,195.50022,43.9875495
2021-01-22,601318,sell,900,186.69585999999998,210.03284249999996
2021-02-23,601318,buy,1000,188.48622,47.121555
2021-03-18,601318,sell,1000,181.94538,227.431725
2021-05-27,601318,buy,1100,168.40614,46.311688499999995
2021-06-07,601318,sell,1100,162.50434,223.4434675
2021-08-16,601318,buy,1400,132.39426,46.337991
2021-08-17,601318,sell,1400,130.42862,228.25008499999998
2021-08-18,601318,buy,1300,134.6187,43.7510775
2021-08-23,601318,sell,1300,127.41466,207.0488225
2021-10-11,601318,buy,1400,128.0055,44.801925000000004
2021-11-02,601318,sell,1400,123.8019,216.65332500000002
2021-12-09,601318,buy,1400,126.9033,44.416154999999996
2021-12-28,601318,sell,1400,125.51845999999999,219.657305
2022-01-04,601318,buy,1400,126.28206,44.198721
2022-01-28,601318,sell,1400,123.72206,216.51360499999998
2022-02-10,601318,buy,1300,132.65478,43.1128035
2022-02-25,601318,sell,1300,126.57634,205.6865525
2022-03-28,601318,buy,1500,119.96946,44.9885475
2022-04-18,601318,sell,1500,117.79394,220.8636375
2022-06-02,601318,buy,1600,112.25406,44.901624
2022-07-11,601318,sell,1600,117.55442000000001,235.10884000000001
2022-08-25,601318,buy,1600,113.45646,45.382584
2022-09-22,601318,sell,1600,111.76602,223.53204
2022-11-11,601318,buy,1600,109.74906,43.899624
2022-12-23,601318,sell,1600,119.9097,239.81939999999997
2023-01-03,601318,buy,1400,123.41634,43.195719000000004
2023-02-06,601318,sell,1400,124.93961999999999,218.644335
2023-03-03,601318,buy,1400,129.68886,45.391101000000006
2023-03-08,601318,sell,1400,123.08333999999999,215.39584499999995
2023-04-17,601318,buy,1400,124.07766,43.427181
2023-05-24,601318,sell,1400,125.55838,219.727165
2023-06-13,601318,buy,1400,128.38626,44.935191
2023-06-26,601318,sell,1400,123.48254,216.094445
2023-07-06,601318,buy,1400,126.72294,44.353029
2023-07-10,601318,sell,1400,124.83982,218.469685
2023-07-13,601318,buy,1400,129.36822,45.278877
2023-07-24,601318,sell,1400,124.85978,218.504615
2023-07-25,601318,buy,1300,131.23194,42.6503805
2023-08-15,601318,sell,1300,128.97153999999998,209.57875249999998
2023-09-01,601318,buy,1300,132.33414,43.0085955
2023-09-20,601318,sell,1300,129.3907,210.2598875
2023-12-28,601318,buy,1500,114.4785,42.9294375
2024-01-08,601318,sell,1500,110.40874,207.01638749999998
2024-01-23,601318,buy,1500,112.67490000000001,42.2530875
2024-03-15,601318,sell,1500,118.45262,222.09866250000002
2024-04-24,601318,buy,1500,115.15986000000001,43.1849475
2024-06-03,601318,sell,1500,119.75001999999999,224.53128750000002
2024-07-04,601318,buy,1500,117.92538,44.2220175
2024-07-09,601318,sell,1500,116.53645999999999,218.50586249999995
2024-07-12,601318,buy,1500,119.32818,44.748067500000005
2024-08-08,601318,sell,1500,118.10332,221.443725
2024-08-20,601318,buy,1400,120.78108,42.27337800000001
2024-09-12,601318,sell,1400,121.65620000000001,212.89835000000005
2024-09-19,601318,buy,1400,125.00952000000001,43.753332
2024-11-01,601318,sell,1400,150.53832,263.44205999999997
2024-11-07,601318,buy,1100,160.54044,44.148621
2024-11-15,601318,sell,1100,149.83972,206.02961500000004
2024-12-10,601318,buy,1200,150.07956000000001,45.023868
2024-12-17,601318,sell,1200,144.27088,216.40632000000005
2025-01-27,601318,buy,1300,140.52048000000002,45.66915600000001
2025-03-03,601318,sell,1300,138.92159999999998,225.74759999999998
2025-03-11,601318,buy,1200,141.82308,42.546924
2025-03-31,601318,sell,1200,141.5164,212.27460000000002
2025-04-24,601318,buy,1200,141.26196,42.37858799999999
2025-09-02,601318,sell,1200,158.75186,238.12779
2025-10-16,601318,buy,1100,158.10558,43.479034500000004
2025-11-27,601318,sell,1100,162.00534000000002,222.75734250000002
2025-12-08,601318,buy,1000,170.7909,42.697725
